# track	lead_in	voice	pitch	instrument	volume	pan	start_frame	duration_frames	dsp_pitch	sample_offset	volume_left	volume_right	adsr1	adsr2	gain	echo_send	keyoff_sample_offset
01	6	1	60	15	23	0	0	29	7644	12	23	23	255	239	184	0	14
01	6	0	53	15	23	0	6	4	6810	200	23	23	255	239	184	1	368
01	6	0	45	15	23	0	12	4	5724	388	23	23	255	239	184	1	492
01	6	0	38	15	23	0	18	16	4812	512	23	23	255	239	184	1	480
01	6	2	34	15	23	0	25	27	4290	38	23	23	255	239	184	1	84
01	6	1	53	15	23	0	30	27	6810	504	23	23	255	239	184	1	422
01	6	0	45	15	23	0	36	4	5724	500	23	23	255	239	184	1	412
01	6	0	38	15	23	0	42	4	4812	368	23	23	255	239	184	1	280
01	6	0	34	15	23	0	48	15	4290	236	23	23	255	239	184	1	98
01	6	2	30	15	23	0	54	25	3822	40	23	23	255	239	184	1	130
01	6	1	45	15	23	0	59	25	5724	314	23	23	255	239	184	1	212
01	6	0	38	15	23	0	64	4	4812	524	23	23	255	239	184	1	308
01	6	0	34	15	23	0	70	3	4290	200	23	23	255	239	184	1	518
01	6	0	30	15	23	0	75	14	3822	410	23	23	255	239	184	1	294
01	6	2	27	15	23	0	80	24	3402	492	23	23	255	239	184	1	220
01	6	1	38	15	23	0	86	23	4812	40	23	23	255	239	184	1	174
01	6	0	34	15	23	0	91	3	4290	122	23	23	255	239	184	1	312
01	6	0	30	15	23	0	96	3	3822	140	23	23	255	239	184	1	266
01	6	0	27	15	23	0	101	13	3402	94	23	23	255	239	184	1	64
01	6	2	22	15	23	0	106	22	2862	48	23	23	255	239	184	1	12
01	6	1	34	15	23	0	110	22	4290	472	23	23	255	239	184	1	308
01	6	0	30	15	23	0	115	3	3822	362	23	23	255	239	184	1	424
01	6	0	27	15	23	0	120	3	3402	188	23	23	255	239	184	1	250
01	6	0	22	15	23	0	125	12	2862	14	23	23	255	239	184	1	6
01	6	2	19	15	23	0	129	21	2406	310	23	23	255	239	184	1	232
01	6	1	30	15	23	0	134	20	3822	8	23	23	255	239	184	1	528
01	6	0	27	15	23	0	138	3	3402	240	23	23	255	239	184	1	238
01	6	0	22	15	23	0	143	3	2862	2	23	23	255	239	184	1	0
01	6	0	19	15	23	0	147	12	2406	234	23	23	255	239	184	1	226
01	6	2	17	15	23	0	151	22	2142	530	23	23	255	239	184	1	110
01	6	1	27	15	23	0	156	22	3402	228	23	23	255	239	184	1	0
01	6	0	22	15	23	0	160	3	2862	524	23	23	255	239	184	1	522
01	6	0	19	15	23	0	165	3	2406	222	23	23	255	239	184	1	284
01	6	0	17	15	23	0	170	12	2142	48	23	23	255	239	184	1	488
01	6	2	15	15	23	0	174	24	1908	408	23	23	255	239	184	1	136
01	6	1	22	15	23	0	179	30	2862	298	23	23	255	239	184	1	150
01	6	0	19	15	23	0	184	3	2406	252	23	23	255	239	184	1	442
01	6	0	17	15	23	0	189	3	2142	334	23	23	255	239	184	1	524
01	6	0	15	15	23	0	194	9	1908	416	23	23	255	239	184	1	346
01	6	2	13	15	23	0	200	14	1698	28	23	23	255	239	184	1	488
01	6	0	11	15	23	0	205	28	1428	302	23	23	255	239	184	1	70
01	6	1	9	15	23	0	211	28	1200	42	23	23	255	239	184	1	258
01	6	2	17	15	23	0	216	30	2142	444	23	23	255	239	184	1	40
01	6	3	19	15	23	0	222	30	2406	440	23	23	255	239	184	1	484
01	6	4	22	15	23	0	228	31	2862	500	23	23	255	239	184	1	522
01	6	0	27	15	23	0	235	32	3402	90	23	23	255	239	184	1	154
01	6	1	34	15	23	0	241	33	4290	342	23	23	255	239	184	1	512
01	6	2	38	15	23	0	248	114	4812	188	23	23	255	239	184	1	432
01	6	3	45	15	23	0	255	107	5724	162	23	23	255	239	184	1	432
01	6	4	53	15	23	0	262	100	6810	200	23	23	255	239	184	1	432
01	6	0	67	15	23	0	269	93	8580	430	23	23	255	239	184	1	432
01	6	1	75	15	23	0	277	85	9636	254	23	23	255	239	184	1	432
01	6	3	5	17	42	115	365	46	636	302	4	42	143	224	184	1	122
01	6	4	7	17	40	95	365	46	954	302	10	40	143	224	184	1	122
01	6	5	9	2	23	0	365	67	1092	302	23	23	255	224	184	1	364
01	6	6	6	12	28	0	365	67	815	302	28	28	255	224	184	1	364
01	6	0	30	11	30	-64	382	6	3822	376	30	15	255	224	184	1	244
01	6	1	11	11	33	-96	382	6	1431	376	33	8	255	224	184	1	244
01	6	2	17	11	23	0	382	6	2145	376	23	23	255	224	184	1	244
01	6	7	30	11	19	67	387	5	3822	10	9	19	255	224	184	1	348
01	6	0	40	11	30	-64	391	5	5106	114	30	15	255	224	184	1	516
01	6	1	15	11	33	-96	391	5	1911	114	33	8	255	224	184	1	516
01	6	2	22	11	23	0	391	5	2862	114	23	23	255	224	184	1	516
01	6	7	40	11	19	67	395	6	5106	282	9	19	255	224	184	1	150
