# track	dsp_cycle	register	value
01	119906	04	0
01	119932	05	255
01	119958	06	224
01	119984	07	184
01	120188	14	0
01	120214	15	255
01	120240	16	224
01	120266	17	184
01	120470	24	0
01	120496	25	255
01	120522	26	224
01	120548	27	184
01	120752	34	0
01	120778	35	255
01	120804	36	224
01	120830	37	184
01	121034	44	0
01	121060	45	255
01	121086	46	224
01	121112	47	184
01	122462	7d	2
01	122494	6d	192
01	122601	0f	12
01	122643	1f	33
01	122685	2f	43
01	122727	3f	43
01	122769	4f	19
01	122811	5f	254
01	122853	6f	243
01	122895	7f	249
01	123487	04	15
01	123539	06	239
01	124188	14	15
01	124240	16	239
01	125103	12	220
01	125139	13	29
01	125455	24	15
01	125507	26	239
01	126156	34	15
01	126208	36	239
01	126857	44	15
01	126909	46	239
01	127890	10	23
01	128032	11	23
01	158604	6c	0
01	195518	4d	255
01	195568	0d	30
01	195618	3c	15
01	195668	2c	15
01	214038	3c	18
01	214088	2c	18
01	228659	02	154
01	228695	03	26
01	229799	00	23
01	229941	01	23
01	231054	3c	21
01	231104	2c	21
01	248529	3c	24
01	248579	2c	24
01	266964	3c	27
01	267014	2c	27
01	285391	3c	30
01	285441	2c	30
01	303917	3c	33
01	303967	2c	33
01	322341	3c	36
01	322391	2c	36
01	337102	02	92
01	337138	03	22
01	339497	3c	39
01	339547	2c	39
01	357076	3c	42
01	357126	2c	42
01	373798	3c	45
01	373848	2c	45
01	392225	3c	48
01	392275	2c	48
01	410751	3c	51
01	410801	2c	51
01	426787	3c	54
01	426837	2c	54
01	443597	02	204
01	443633	03	18
01	445992	3c	57
01	446042	2c	57
01	461522	3c	60
01	461572	2c	60
01	479957	3c	63
01	480007	2c	63
01	496335	3c	66
01	496385	2c	66
01	514819	3c	69
01	514869	2c	69
01	531536	3c	72
01	531586	2c	72
01	548553	22	194
01	548589	23	16
01	549666	20	23
01	549808	21	23
01	550643	3c	75
01	550693	2c	75
01	565988	3c	78
01	566038	2c	78
01	582365	3c	81
01	582415	2c	81
01	600799	3c	84
01	600849	2c	84
01	617611	3c	87
01	617661	2c	87
01	633654	3c	90
01	633704	2c	90
01	648545	12	154
01	648581	13	26
01	650795	3c	93
01	650845	2c	93
01	668381	3c	96
01	668431	2c	96
01	684766	3c	99
01	684816	2c	99
01	701495	3c	102
01	701545	2c	102
01	717634	3c	105
01	717684	2c	105
01	736067	3c	108
01	736117	2c	108
01	750842	02	92
01	750878	03	22
01	753252	3c	111
01	753302	2c	111
01	768733	3c	114
01	768783	2c	114
01	785462	3c	117
01	785512	2c	117
01	801519	3c	120
01	801569	2c	120
01	849444	02	204
01	849480	03	18
01	947412	02	194
01	947448	03	16
01	1044060	22	238
01	1044096	23	14
01	1138034	12	92
01	1138070	13	22
01	1230073	02	204
01	1230109	03	18
01	1322190	02	194
01	1322226	03	16
01	1414355	02	238
01	1414391	03	14
01	1502854	22	74
01	1502890	23	13
01	1590675	12	204
01	1590711	13	18
01	1678581	02	194
01	1678617	03	16
01	1764558	02	238
01	1764594	03	14
01	1848532	02	74
01	1848568	03	13
01	1932947	22	46
01	1932983	23	11
01	2014618	12	194
01	2014654	13	16
01	2096377	02	238
01	2096413	03	14
01	2176210	02	74
01	2176246	03	13
01	2256092	02	46
01	2256128	03	11
01	2334318	22	102
01	2334354	23	9
01	2409837	12	238
01	2409873	13	14
01	2485494	02	74
01	2485530	03	13
01	2563295	02	46
01	2563331	03	11
01	2639068	02	102
01	2639104	03	9
01	2717333	22	94
01	2717369	23	8
01	2792854	12	74
01	2792890	13	13
01	2870873	02	46
01	2870909	03	11
01	2946860	02	102
01	2946896	03	9
01	3026141	02	94
01	3026177	03	8
01	3106786	22	116
01	3106822	23	7
01	3188132	12	46
01	3188168	13	11
01	3271938	02	102
01	3271974	03	9
01	3359963	02	94
01	3359999	03	8
01	3448033	02	116
01	3448069	03	7
01	3538540	22	162
01	3538576	23	6
01	3632400	02	148
01	3632436	03	5
01	3726772	12	176
01	3726808	13	4
01	3825220	22	94
01	3825256	23	8
01	3927852	32	102
01	3927888	33	9
01	3928924	30	23
01	3929066	31	23
01	4032802	42	46
01	4032838	43	11
01	4033868	40	23
01	4034010	41	23
01	4138231	02	74
01	4138267	03	13
01	4248985	12	194
01	4249021	13	16
01	4363829	22	204
01	4363865	23	18
01	4483341	32	92
01	4483377	33	22
01	4604094	42	154
01	4604130	43	26
01	4730086	02	132
01	4730122	03	33
01	4861323	12	164
01	4861359	13	37
01	6366622	54	0
01	6366648	55	255
01	6366674	56	224
01	6366700	57	184
01	6366904	64	0
01	6366930	65	255
01	6366956	66	224
01	6366982	67	184
01	6369107	04	11
01	6369159	06	224
01	6370153	14	11
01	6370205	16	224
01	6371199	24	11
01	6371251	26	224
01	6372245	34	17
01	6372271	35	143
01	6372297	36	224
01	6373547	32	124
01	6373583	33	2
01	6373899	44	17
01	6373925	45	143
01	6373951	46	224
01	6375187	42	186
01	6375223	43	3
01	6375539	54	2
01	6376522	52	68
01	6376558	53	4
01	6376874	64	12
01	6377831	62	47
01	6377867	63	3
01	6378183	74	11
01	6379744	30	4
01	6379886	31	42
01	6380193	40	10
01	6380335	41	40
01	6380642	50	23
01	6380784	51	23
01	6381091	60	28
01	6381233	61	28
01	6381819	0d	20
01	6381869	3c	0
01	6381919	2c	0
01	6394128	3c	1
01	6394178	2c	1
01	6417976	3c	2
01	6418026	2c	2
01	6442547	3c	3
01	6442597	2c	3
01	6467123	3c	4
01	6467173	2c	4
01	6491702	3c	5
01	6491752	2c	5
01	6516617	3c	6
01	6516667	2c	6
01	6538809	3c	7
01	6538859	2c	7
01	6563380	3c	8
01	6563430	2c	8
01	6587956	3c	9
01	6588006	2c	9
01	6612535	3c	10
01	6612585	2c	10
01	6637450	3c	11
01	6637500	2c	11
01	6656564	32	127
01	6657197	42	189
01	6665210	3c	12
01	6665260	2c	12
01	6672059	02	238
01	6672095	03	14
01	6672890	12	151
01	6672926	13	5
01	6673707	22	97
01	6673743	23	8
01	6675116	42	192
01	6676006	00	30
01	6676148	01	15
01	6676455	10	33
01	6676597	11	8
01	6680916	72	25
01	6680952	73	14
01	6683503	42	189
01	6684370	72	28
01	6689473	3c	13
01	6689523	2c	13
01	6692490	72	34
01	6697366	32	124
01	6698043	42	186
01	6703725	72	37
01	6706866	72	40
01	6713764	72	43
01	6715475	3c	14
01	6715525	2c	14
01	6717312	42	183
01	6718179	72	40
01	6720146	32	121
01	6721659	72	37
01	6728625	42	180
01	6729492	72	34
01	6736390	72	31
01	6738101	3c	15
01	6738151	2c	15
01	6740277	42	183
01	6741144	72	28
01	6744285	72	25
01	6746059	32	124
01	6747831	72	238
01	6749254	70	9
01	6749396	71	19
01	6752069	42	186
01	6762839	3c	16
01	6762889	2c	16
01	6767641	42	189
01	6769660	32	127
01	6786187	42	192
01	6788394	3c	17
01	6788444	2c	17
01	6795993	42	189
01	6810658	3c	18
01	6810708	2c	18
01	6811836	32	124
01	6812469	42	186
01	6817060	02	242
01	6817096	03	19
01	6817768	12	119
01	6817804	13	7
01	6818476	22	46
01	6818512	23	11
01	6825224	42	183
01	6830080	32	121
01	6832977	3c	19
01	6833027	2c	19
01	6840509	42	180
01	6847845	42	183
01	6858611	3c	20
01	6858661	2c	20
01	6859802	32	124
01	6863465	42	186
01	6881126	32	127
01	6881803	42	189
01	6895230	72	242
01	6895266	73	19
01	6899407	42	192
01	6909223	42	189
01	6921385	32	124
01	6922018	42	186
01	6937536	42	183
01	6946739	32	121
01	6952741	42	180
01	6959912	42	183
01	6967316	02	101
01	6967352	03	22
01	6968133	12	97
01	6968169	13	8
01	6968936	22	141
01	6968972	23	12
01	6975003	32	124
01	6975649	42	186
01	6994783	32	127
01	6995416	42	189
01	7007869	42	192
01	7020661	42	189
01	7032481	32	124
01	7033114	42	186
01	7042708	72	101
01	7042744	73	22
01	7049589	42	183
01	7055820	32	121
01	7062351	42	180
01	7072055	42	183
01	7081303	32	124
01	7087834	42	186
01	7103678	32	127
01	7104311	42	189
01	7119770	42	192
01	7129586	42	189
01	7141760	32	124
01	7142393	42	186
01	7160962	42	183
01	7164325	32	121
01	7177513	42	180
01	7183208	42	183
01	7192426	32	124
01	7202936	42	186
01	7215080	32	127
01	7215713	42	189
01	7228151	42	192
01	7240589	42	189
01	7252394	32	124
01	7256018	42	186
01	7262868	02	104
01	7264092	22	144
01	7265928	02	110
01	7269607	12	100
01	7270212	22	147
01	7272431	02	113
01	7276978	02	119
01	7277597	12	103
01	7278202	22	150
01	7280377	02	122
01	7281601	22	153
01	7288028	02	128
01	7288647	12	106
01	7289252	22	156
01	7291427	02	131
01	7294531	02	134
01	7295843	22	159
01	7299078	02	131
01	7303701	22	156
01	7305537	02	128
01	7313709	02	119
01	7314328	12	103
01	7314933	22	150
01	7316813	02	116
01	7317476	12	100
01	7321869	02	113
01	7323093	22	147
01	7324929	02	107
01	7325548	12	97
01	7326153	22	144
01	7331432	02	104
01	7338057	02	98
01	7338689	12	94
01	7339321	22	141
01	7340473	72	107
01	7341678	02	95
01	7343030	22	138
01	7344352	72	113
01	7347091	02	92
01	7347723	12	91
01	7348355	22	135
01	7349507	72	116
01	7350668	02	86
01	7353084	72	119
01	7354289	02	83
01	7354965	12	88
01	7355641	22	132
01	7356963	72	122
01	7359702	02	80
01	7360966	22	129
01	7362118	72	128
01	7363279	02	77
01	7367239	02	74
01	7367915	12	85
01	7368591	22	126
01	7369913	72	134
01	7372313	02	68
01	7373577	22	123
01	7374729	72	131
01	7378645	72	128
01	7379850	02	71
01	7381202	22	126
01	7385445	02	77
01	7386077	12	88
01	7386709	22	129
01	7387861	72	122
01	7389022	02	80
01	7391438	72	116
01	7392982	02	83
01	7394334	22	132
01	7398226	02	86
01	7398858	12	91
01	7399490	22	135
01	7400642	72	110
01	7401803	02	92
01	7404219	72	107
01	7406439	12	94
01	7407115	22	138
01	7409543	72	104
01	7412902	02	101
01	7413534	12	97
01	7414152	22	141
01	7415317	72	98
01	7416509	02	104
01	7419156	72	95
01	7421882	02	110
01	7423106	22	144
01	7424271	72	89
01	7425419	02	113
01	7426038	12	100
01	7426643	22	147
01	7427808	72	86
01	7431647	72	83
01	7434373	02	119
01	7434992	12	103
01	7435597	22	150
01	7436762	72	77
01	7437910	02	125
01	7439134	22	153
01	7440299	72	74
01	7446864	02	131
01	7447483	12	106
01	7448088	22	156
01	7449253	72	68
01	7450740	02	134
01	7451359	12	109
01	7451964	22	159
01	7453129	72	71
01	7459876	02	128
01	7460495	12	106
01	7461100	22	156
01	7462265	72	77
01	7463413	02	125
01	7464032	12	103
01	7464637	22	153
01	7465802	72	80
01	7469811	72	83
01	7472537	02	116
01	7473156	12	100
01	7473761	22	150
01	7474926	72	89
01	7477298	22	147
01	7478463	72	92
01	7480096	02	113
01	7487340	02	104
01	7487959	12	97
01	7488564	22	141
01	7489716	72	101
01	7493497	72	104
01	7495897	02	95
01	7496529	12	94
01	7497161	22	138
01	7498313	72	110
01	7499813	02	92
01	7502229	72	113
01	7508802	02	86
01	7509434	12	91
01	7510066	22	132
01	7511218	72	119
01	7512379	02	83
01	7513011	12	88
01	7514795	72	125
01	7521368	02	77
01	7522632	22	129
01	7523784	72	131
01	7525284	02	71
01	7525916	12	85
01	7526548	22	126
01	7527700	72	134
01	7537407	72	128
01	7538597	02	74
01	7541401	72	125
01	7544140	02	77
01	7544772	12	88
01	7545404	22	129
01	7546556	72	119
01	7547717	02	83
01	7548981	22	132
01	7550133	72	116
01	7553930	54	19
01	7553956	55	253
01	7554859	52	249
01	7554895	53	18
01	7555444	64	19
01	7555470	65	253
01	7556373	62	249
01	7556409	63	18
