# bank	id	variant_hash	step	voice	pitch	instrument	volume	pan	duration_frames	echo	command_delay_frames	scheduler_tick_index	dsp_pitch	volume_left	volume_right	adsr1	adsr2	gain	sample_offset
0	01	6f23aa01	0	7	25	1	80	-127	0	0	0	0	802	80	0	142	224	184	0
0	01	6f23aa01	1	6	16	1	80	127	0	0	0	0	534	0	80	142	224	184	0
0	03	83cc46a8	0	7	14	1	50	-127	0	0	2	4	450	50	0	142	224	184	0
0	03	83cc46a8	1	6	11	1	50	127	0	0	2	4	356	0	50	142	224	184	0
1	2c	e8a9cbf4	0	6	50	0	75	0	5	0	2	4	1605	75	75	246	106	184	0	2880
1	2c	e8a9cbf4	1	5	50	0	63	0	8	0	2	4	1605	63	63	246	106	184	0	4096
1	2c	e8a9cbf4	2	6	127	3	112	0	0	0	9	0	16065	112	112	223	17	184	0	9984
1	2c	e8a9cbf4	3	5	127	3	63	0	0	0	11	2	16065	63	63	223	17	184	0	9920
1	2c	6b6a1520	0	7	50	0	75	0	5	0	2	2	1605	75	75	246	106	184	0	2944
1	2c	6b6a1520	1	6	50	0	63	0	8	0	2	2	1605	63	63	246	106	184	0	4096
1	2c	6b6a1520	2	7	127	3	112	0	0	0	8	7	16065	112	112	223	17	184	0	9920
1	2c	6b6a1520	3	6	127	3	63	0	0	0	11	0	16065	63	63	223	17	184	0	9920
1	2c	a1d0e0bb	0	7	50	0	75	0	5	0	2	5	1605	75	75	246	106	184	0	2944
1	2c	a1d0e0bb	1	6	50	0	63	0	8	0	2	5	1605	63	63	246	106	184	0	4096
1	2c	a1d0e0bb	2	7	127	3	112	0	0	0	9	1	16065	112	112	223	17	184	0	9344
1	2c	a1d0e0bb	3	6	127	3	63	0	0	0	11	3	16065	63	63	223	17	184	0	8192
0	01	baed3e27	0	7	25	1	80	-127	1	1	2	5	802	80	0	142	224	184	0
0	01	f15178e6	0	7	25	1	80	-127	1	0	2	1	802	80	0	142	224	184	0
0	05	402aba1b	0	7	47	13	18	0	3	0	2	5	1515	18	18	249	110	184	0
0	05	402aba1b	1	7	56	13	18	0	3	0	7	1	1803	18	18	249	110	184	0
0	05	402aba1b	2	7	84	13	18	0	1	0	11	3	2703	18	18	249	110	184	0
0	05	9add91d3	0	1	127	20	15	0	7	0	4	2	5451	15	15	255	224	184	0
0	05	9add91d3	1	2	29	24	23	0	1	0	4	2	922	23	23	254	143	184	0
0	05	9b74a57e	0	7	127	0	50	0	4	0	8	6	4818	50	50	246	106	184	0
0	05	9b74a57e	1	0	17	10	23	0	1	0	3	6	530	23	23	138	233	184	0
0	05	a811817a	0	7	63	1	37	0	3	0	2	3	2022	37	37	142	224	184	0
0	05	a811817a	1	0	59	9	5	-102	4	0	4	1	1895	5	1	143	233	184	0
0	05	a811817a	2	1	42	9	4	-64	4	0	4	1	1340	4	2	143	233	184	0
0	05	a811817a	3	7	63	1	37	0	1	1	10	4	2022	37	37	142	224	184	0
0	05	a811817a	4	0	59	9	4	-95	1	1	10	4	1895	4	1	143	233	184	0
0	05	a811817a	5	1	42	9	4	-64	1	1	10	4	1340	4	2	143	233	184	0
0	05	b0875e9e	0	7	47	13	18	0	3	0	2	3	1515	18	18	249	110	184	0
0	05	b0875e9e	1	7	56	13	18	0	4	0	6	6	1803	18	18	249	110	184	0
0	05	b0875e9e	2	7	84	13	18	0	1	0	11	1	2703	18	18	249	110	184	0
0	05	bdf1e0dd	0	0	59	9	5	-102	4	0	4	2	1895	5	1	143	233	184	0
0	05	bdf1e0dd	1	1	42	9	4	-64	4	0	4	2	1340	4	2	143	233	184	0
0	05	bdf1e0dd	2	7	42	20	50	0	2	0	10	1	1350	50	50	254	106	184	0
0	05	bdf1e0dd	3	0	59	9	4	-95	1	1	10	5	1895	4	1	143	233	184	0
0	05	bdf1e0dd	4	1	42	9	4	-64	1	1	10	5	1340	4	2	143	233	184	0
0	05	f499484a	0	0	59	9	5	-102	4	0	4	2	1895	5	1	143	233	184	0
0	05	f499484a	1	1	42	9	4	-64	4	0	4	2	1340	4	2	143	233	184	0
0	05	f499484a	2	7	113	16	63	0	1	0	2	3	3606	63	63	142	224	184	0
0	05	f499484a	3	0	59	9	4	-95	1	1	10	5	1895	4	1	143	233	184	0
0	05	f499484a	4	1	42	9	4	-64	1	1	10	5	1340	4	2	143	233	184	0
0	05	5c065005	0	5	47	13	18	0	0	0	2	2	1515	18	18	249	110	184	0
0	05	5c065005	1	5	56	13	18	0	0	0	2	2	1803	18	18	249	110	184	0
0	05	5c065005	2	5	84	13	18	0	0	0	2	2	2703	18	18	249	110	184	0
0	05	5c065005	3	5	12	10	18	0	0	0	2	2	1503	18	18	138	233	184	0
0	05	5c065005	4	6	25	16	63	0	0	0	2	2	801	63	63	142	224	184	0
0	05	5c065005	5	7	50	16	63	0	0	0	2	2	1605	63	63	142	224	184	0
0	05	5c065005	6	7	113	16	63	0	0	0	2	2	3606	63	63	142	224	184	0
0	05	5c065005	7	6	127	11	75	0	0	0	0	0	5412	75	75	254	106	184	272
0	05	5c065005	8	5	100	11	63	0	0	0	0	0	3213	63	63	254	106	184	272
0	05	5c065005	9	4	67	11	63	0	0	0	0	0	2145	63	63	254	106	184	272
0	05	5c065005	10	3	28	2	63	0	0	0	0	0	900	63	63	254	106	127	272
0	05	5c065005	11	2	42	11	63	0	0	0	0	0	1350	63	63	254	106	184	272
0	05	5c065005	12	7	56	13	18	0	0	0	0	0	1803	18	18	249	110	184	528
0	13	3b0b7bfb	0	7	38	0	60	0	1	0	2	6	1203	60	60	246	106	184	0
1	01	16e53ea6	0	7	25	1	75	0	5	1	4	3	802	75	75	142	224	184	0
1	01	3608d6da	0	7	25	1	75	0	1	1	4	4	802	75	75	142	224	184	0
1	01	38d22304	0	7	25	1	44	0	2	1	2	4	802	44	44	142	224	184	0
1	01	38d22304	1	7	25	1	75	0	6	1	4	6	802	75	75	142	224	184	0	2880
1	01	8aef577b	0	7	25	1	75	0	1	1	4	7	802	75	75	142	224	184	0
1	01	92b3dace	0	6	25	1	75	0	6	0	4	7	802	75	75	142	224	184	0
1	01	b1d24153	0	7	25	1	75	0	6	0	4	5	802	75	75	142	224	184	0
1	02	104ab44c	0	4	17	1	75	0	6	0	2	1	534	75	75	142	224	184	0
1	02	30fa0691	0	5	17	1	75	0	6	0	2	5	534	75	75	142	224	184	0
1	02	4669f581	0	6	17	1	75	0	6	1	2	2	534	75	75	142	224	184	0
1	02	4669f581	1	6	63	12	50	0	1	1	11	5	2022	50	50	254	224	184	0
1	02	5d4fdf7a	0	7	17	1	75	0	6	0	2	5	534	75	75	142	224	184	0
1	02	5d4fdf7a	1	7	63	12	76	-114	1	0	11	3	2022	76	8	254	224	184	0
1	02	fa818a48	0	7	17	1	75	0	6	1	2	3	534	75	75	142	224	184	0
1	02	fa818a48	1	7	63	12	50	0	1	1	11	1	2022	50	50	254	224	184	0
1	03	79eae374	0	7	12	20	75	0	10	1	2	5	400	75	75	254	106	184	0
1	03	d8dbc57e	0	7	12	20	75	0	9	1	2	1	400	75	75	254	106	184	0
1	05	3065c22c	0	7	100	5	75	0	2	1	2	5	3213	75	75	254	106	112	0
1	05	53a81004	0	7	100	5	75	0	2	0	2	4	3213	75	75	254	106	112	0
1	05	53a81004	1	7	47	10	19	-67	1	1	7	1	1503	19	9	138	233	184	0
1	05	ac514a7e	0	5	100	5	75	0	2	1	2	5	3213	75	75	254	106	112	0
1	05	b9c9dc2f	0	6	100	5	75	0	2	1	2	2	3213	75	75	254	106	112	0
1	07	416a9c3a	0	5	19	0	50	0	1	1	2	3	600	50	50	246	106	184	0
1	07	4a745fe2	0	7	19	0	50	0	1	0	2	5	600	50	50	246	106	184	0
1	07	5b7392fe	0	7	19	0	50	0	1	0	2	2	600	50	50	246	106	184	0
1	07	62dfd2b5	0	5	19	0	50	0	1	1	2	1	600	50	50	246	106	184	0
1	07	7e8a79d0	0	5	19	0	50	0	6	1	2	6	600	50	50	246	106	184	0
1	07	ad23fba7	0	7	19	0	50	0	1	1	2	6	600	50	50	246	106	184	0
1	07	c8c8acd3	0	7	19	0	50	0	5	0	2	3	600	50	50	246	106	184	0
1	08	bfe4e2c0	0	6	67	20	75	0	4	1	2	2	2142	75	75	254	106	184	0
1	08	bfe4e2c0	1	4	38	12	50	0	5	1	2	2	1202	50	50	254	224	184	0
1	08	bfe4e2c0	2	6	89	20	31	0	1	1	7	6	2860	31	31	254	106	184	0
1	08	c136ccae	0	6	67	20	75	0	4	1	2	3	2142	75	75	254	106	184	0
1	08	c136ccae	1	5	38	12	50	0	5	1	2	3	1202	50	50	254	224	184	0
1	08	c136ccae	2	6	89	20	31	0	1	1	7	6	2860	31	31	254	106	184	0
