# bank	id	variant_hash	step	relative_sample	pitch_word
1	1d	f31c8f91	0	320	428
1	1d	f31c8f91	0	640	416
1	1d	f31c8f91	0	896	408
1	1d	f31c8f91	0	1216	396
1	1d	f31c8f91	0	1472	388
1	1d	f31c8f91	0	1792	380
1	1d	f31c8f91	0	2048	372
1	1d	f31c8f91	0	2368	360
1	1d	f31c8f91	0	2688	352
1	1d	f31c8f91	0	2944	368
1	1d	f31c8f91	0	3264	384
1	1d	f31c8f91	0	3520	400
1	1d	f31c8f91	0	3840	416
1	1d	f31c8f91	0	4096	432
1	1d	f31c8f91	0	4416	452
1	1d	f31c8f91	0	4736	472
1	1d	f31c8f91	0	4992	492
1	1d	f31c8f91	0	5312	512
1	1d	f31c8f91	0	5568	532
1	1d	f31c8f91	0	5888	612
1	1d	f31c8f91	0	6144	708
1	1d	f31c8f91	0	6464	812
1	1d	f31c8f91	0	6784	936
1	1d	f31c8f91	0	7040	1076
1	1d	f31c8f91	0	7360	1240
1	1d	f31c8f91	0	7616	1428
1	1d	f31c8f91	1	320	867
1	1d	f31c8f91	1	640	849
1	1d	f31c8f91	1	896	834
1	1d	f31c8f91	1	1216	819
1	1d	f31c8f91	1	1472	801
1	1d	f31c8f91	1	1792	876
1	1d	f31c8f91	1	2048	954
1	1d	f31c8f91	1	2368	1041
1	1d	f31c8f91	1	2688	1134
1	1d	f31c8f91	1	2944	1239
1	1d	f31c8f91	1	3264	1350
1	1d	f31c8f91	1	3520	1179
1	1d	f31c8f91	1	3840	1032
1	1d	f31c8f91	1	4096	900
1	01	38d22304	0	0	610
1	01	38d22304	0	320	462
1	01	38d22304	0	640	352
1	01	38d22304	0	896	266
1	01	38d22304	1	0	936
1	01	38d22304	1	256	1092
1	01	38d22304	1	576	1272
1	01	38d22304	1	832	1484
1	01	38d22304	1	1152	1732
1	01	38d22304	1	1472	2020
1	01	38d22304	1	1728	2356
1	01	38d22304	1	2048	2750
1	01	38d22304	1	2304	3212
1	2c	e8a9cbf4	0	0	1557
1	2c	e8a9cbf4	0	256	1506
1	2c	e8a9cbf4	0	576	1458
1	2c	e8a9cbf4	0	832	1413
1	2c	e8a9cbf4	0	1152	1368
1	2c	e8a9cbf4	0	1408	1326
1	2c	e8a9cbf4	0	1728	1284
1	2c	e8a9cbf4	0	2048	1242
1	2c	e8a9cbf4	0	2304	1203
1	2c	6b6a1520	0	0	1557
1	2c	6b6a1520	0	256	1506
1	2c	6b6a1520	0	576	1458
1	2c	6b6a1520	0	896	1413
1	2c	6b6a1520	0	1152	1368
1	2c	6b6a1520	0	1472	1326
1	2c	6b6a1520	0	1728	1284
1	2c	6b6a1520	0	2048	1242
1	2c	6b6a1520	0	2304	1203
1	2c	a1d0e0bb	0	0	1557
1	2c	a1d0e0bb	0	256	1506
1	2c	a1d0e0bb	0	576	1458
1	2c	a1d0e0bb	0	896	1413
1	2c	a1d0e0bb	0	1152	1368
1	2c	a1d0e0bb	0	1472	1326
1	2c	a1d0e0bb	0	1728	1284
1	2c	a1d0e0bb	0	2048	1242
1	2c	a1d0e0bb	0	2304	1203
