name	frame	checkpoint_path	input_script	wram_digest	notes
file-select-enter-game	107000	target/lockstep-checkpoints/file-select-enter-game-107000-message.bin	scripts/inputs/file-select-enter-game.txt	3159b761a47fa0d6	saved-slot route checkpoint after later message-cycle frontier probe
file-select-message-dismiss-wander	107000	target/lockstep-checkpoints/file-select-enter-game-107000-message.bin	scripts/inputs/file-select-enter-game-message-dismiss-and-wander.txt	3159b761a47fa0d6	equivalent checkpoint before the extension script adds post-message movement and interaction inputs
file-select-diagonal-sweeps	107000	target/lockstep-checkpoints/file-select-enter-game-107000-message.bin	scripts/inputs/file-select-enter-game-diagonal-sweeps.txt	3159b761a47fa0d6	equivalent checkpoint before the extension script adds diagonal movement sweeps
file-select-button-taps	107000	target/lockstep-checkpoints/file-select-enter-game-107000-message.bin	scripts/inputs/file-select-enter-game-button-taps.txt	3159b761a47fa0d6	equivalent checkpoint before the extension script adds isolated button taps
file-select-button-direction-probes	107000	target/lockstep-checkpoints/file-select-enter-game-107000-message.bin	scripts/inputs/file-select-enter-game-button-probes.txt	3159b761a47fa0d6	equivalent checkpoint before combined button+direction probes
opening-uncle-dismiss-and-move	28610	target/lockstep-checkpoints/opening-28610-message.bin	scripts/inputs/opening-uncle-message-dismiss-and-move.txt	79fa9c5b0b5cf973	opening route checkpoint before Uncle-message dismissal tail and movement probes
opening-uncle-extended-move	28610	target/lockstep-checkpoints/opening-28610-message.bin	scripts/inputs/opening-uncle-message-extended-move.txt	79fa9c5b0b5cf973	equivalent checkpoint before the extension script adds more in-house movement and A-button probes
opening-uncle-diagonal-sweeps	28610	target/lockstep-checkpoints/opening-28610-message.bin	scripts/inputs/opening-uncle-message-diagonal-sweeps.txt	79fa9c5b0b5cf973	equivalent checkpoint before the extension script adds diagonal in-house movement sweeps
coverage-branch-89424-bush-poof-ancilla	89424	.cache/parity-golden/ck/89424.sav	scripts/inputs/coverage-branch-89424-bush-poof-ancilla.txt		promoted overworld checkpoint before bush-poof ancilla/effect branch tail
coverage-branch-916218-somaria-fission-ancilla	916218	.cache/replay-bisect/rust-frame-916218.sav	scripts/inputs/coverage-branch-916218-somaria-fission-ancilla.txt		promoted dungeon checkpoint before Somaria block fission ancilla/effect branch tail
coverage-branch-357697-main-menu-modules	357697	.cache/parity-golden/ck/357697.sav	scripts/inputs/coverage-branch-357697-main-menu-modules.txt		promoted checkpoint before main-menu/module coverage branch tail
coverage-branch-496311-pikit-shield-drop	496311	.cache/parity-probes/pikit-alt/route-496311-ow73.sav	scripts/inputs/coverage-branch-496311-pikit-shield-drop.txt		promoted overworld checkpoint before Pikit stolen-shield drop branch tail
coverage-branch-511196-archery-game	511196	.cache/parity-probes/archery/rust-frame-511196-ow-0069.sav	scripts/inputs/coverage-branch-511196-archery-game.txt		promoted archery checkpoint before DW screen 0x69/room 0x0111 entrance branch tail
coverage-branch-591900-wilted-terrace-ow7c	591900	.cache/parity-probes/ow-neighbor/route-591900-ow007b-stable.sav	scripts/inputs/coverage-branch-591900-wilted-terrace-ow7c.txt		promoted overworld checkpoint before Wilted Terrace screen 0x007c branch tail
coverage-branch-872500-flute-stop4-ow2f	872500	.cache/parity-probes/flute/route-872500-ow05.sav	scripts/inputs/coverage-branch-872500-flute-stop4-ow2f.txt		promoted flute checkpoint before bird-travel stop 4 / light-world screen 0x002f branch tail
