kind	source	symbol	status	rust	notes
module	zelda_rtl.c	*	done	crates/zelda3/src/zelda_rtl.rs	full C-shaped runtime shell, frame/render, save/load, state recorder, language, patch, and SRAM helpers are ported
function	zelda_rtl.c	zelda_ppu_write	done	crates/zelda3/src/zelda_rtl.rs	C-shaped PPU byte write helper is ported
function	zelda_rtl.c	zelda_ppu_write_word	done	crates/zelda3/src/zelda_rtl.rs	C-shaped PPU word write helper is ported
function	zelda_rtl.c	SimpleHdma_GetPtr	done	crates/zelda3/src/zelda_rtl.rs	C-shaped simple HDMA table resolver is ported for runtime renderer state
function	zelda_rtl.c	SimpleHdma_Init	done	crates/zelda3/src/zelda_rtl.rs	C-shaped simple HDMA channel initialization is ported
function	zelda_rtl.c	SimpleHdma_DoLine	done	crates/zelda3/src/zelda_rtl.rs	C-shaped simple HDMA per-line transfer is ported
function	zelda_rtl.c	ConfigurePpuSideSpace	done	crates/zelda3/src/zelda_rtl.rs	C-shaped PPU side-space calculation is ported
function	zelda_rtl.c	ZeldaDrawPpuFrame	done	crates/zelda3/src/zelda_rtl.rs	C-shaped draw-frame shell, IRQ scroll writes, and simple HDMA line stepping are ported
function	zelda_rtl.c	HdmaSetup	done	crates/zelda3/src/zelda_rtl.rs	C-shaped HDMA channel register setup helper is ported
function	zelda_rtl.c	ZeldaInitializationCode	done	crates/zelda3/src/zelda_rtl.rs	C-shaped startup initialization entry is ported
function	zelda_rtl.c	ClearOamBuffer	done	crates/zelda3/src/zelda_rtl.rs	C-shaped OAM Y clear helper is ported
function	zelda_rtl.c	ZeldaRunGameLoop	done	crates/zelda3/src/zelda_rtl.rs	C-shaped main game-loop entry is ported
function	zelda_rtl.c	ZeldaInitialize	done	crates/zelda3/src/zelda_rtl.rs	C-shaped runtime initialization entry is ported
function	zelda_rtl.c	ZeldaRunPolyLoop	done	crates/zelda3/src/zelda_rtl.rs	C-shaped poly loop dispatcher is ported
function	zelda_rtl.c	ZeldaRunFrameInternal	done	crates/zelda3/src/zelda_rtl.rs	C-shaped frame skeleton and module/poly/NMI dispatch are ported
function	zelda_rtl.c	IncrementCrystalCountdown	done	crates/zelda3/src/zelda_rtl.rs	C-shaped crystal countdown carry helper is ported
function	zelda_rtl.c	ZeldaSetupEmuCallbacks	done	crates/zelda3/src/zelda_rtl.rs	C-shaped emulator callback registration is ported with owned Rust callback slots
function	zelda_rtl.c	EmuSynchronizeWholeState	done	crates/zelda3/src/zelda_rtl.rs	C-shaped whole-state sync callback dispatch is ported
function	zelda_rtl.c	EmuSyncMemoryRegion	done	crates/zelda3/src/zelda_rtl.rs	C-shaped RAM-region sync helper is ported against the owned emu memory buffer
function	zelda_rtl.c	Startup_InitializeMemory	done	crates/zelda3/src/zelda_rtl.rs	C-shaped WRAM/SRAM startup initialization is ported
function	zelda_rtl.c	ByteArray_AppendVl	done	crates/zelda3/src/zelda_rtl.rs	C-shaped variable-length byte append helper is ported
function	zelda_rtl.c	saveFunc	done	crates/zelda3/src/zelda_rtl.rs	C-shaped save callback appends bytes into ByteArray
function	zelda_rtl.c	loadFunc	done	crates/zelda3/src/zelda_rtl.rs	C-shaped load callback copies bytes out of LoadFuncState
function	zelda_rtl.c	InternalSaveLoad	done	crates/zelda3/src/zelda_rtl.rs	C-shaped save/load sequencing is ported with Rust payload slots for deferred audio, DMA, and PPU state
function	zelda_rtl.c	ZeldaReset	done	crates/zelda3/src/zelda_rtl.rs	C-shaped runtime reset entry is ported
function	zelda_rtl.c	LoadSnesState	done	crates/zelda3/src/zelda_rtl.rs	C-shaped state load wrapper and HDMA-table relocation are ported
function	zelda_rtl.c	SaveSnesState	done	crates/zelda3/src/zelda_rtl.rs	C-shaped state save wrapper and HDMA-table relocation are ported
